pathway.sortorder,biochemical,super.pathway,sub.pathway,comp.id,platform,chemical.id,ri,mass,cas,pubchem,kegg,hmdb
2268,D-urobilin,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,40084,LC/MS Pos,100002569,4621,589.3,3947-38-4;,6276321,C05795,HMDB04161
979,eicosapentaenoate (EPA; 20:5n3),Lipid,Polyunsaturated Fatty Acid (n3 and n6),18467,LC/MS Neg,2050,5442,301.3,10-2005-9;10417-94-4;,446284,C06428,HMDB01999
966,eicosenoate (20:1n9 or 11),Lipid,Long Chain Fatty Acid,33587,LC/MS Neg,100001335,5955,309.4,,5282768,,
2549,equol glucuronide,Xenobiotics,Food Component/Plant,41948,LC/MS Neg,100003895,3195,417.2,,,,
2553,erythritol,Xenobiotics,Food Component/Plant,20699,GC/MS,100000846,1517.5,217,149-32-6;,222285,C00503,HMDB02994
905,erythronate,Carbohydrate,Aminosugar Metabolism,33477,GC/MS,100001320,1546.9,292.1,88759-55-1;,2781043,,HMDB00613
1329,ethanolamine,Lipid,Phospholipid Metabolism,1497,GC/MS,420,1304,174.1,141-43-5;,700,C00189,HMDB00149
835,fructose,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",577,GC/MS,878,1758,217,57-48-7;,5984,C00095,HMDB00660
787,fucose,Carbohydrate,Pentose Metabolism,15821,GC/MS,918,1682.2,204,2438-80-4;,19466,C01018,HMDB00174
920,fumarate,Energy,TCA Cycle,1643,GC/MS,330,1382.1,245,100-17-8;,,C00122,HMDB00134
850,galactose,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",12055,GC/MS,287,1793.8,203.9,59-23-4;,3037556,C01582,HMDB00143
1475,galactosylsphingosine,Lipid,Sphingolipid Metabolism,40083,LC/MS Pos,100002498,5131,462.3,2238-90-6;,22833541,C01747,HMDB00648
2561,galacturonate,Xenobiotics,Food Component/Plant,20758,GC/MS,100000873,1890,204,91510-62-2;,84740,C08348,HMDB02545
41,gamma-aminobutyrate (GABA),Amino Acid,Glutamate Metabolism,1416,GC/MS,141,1539.7,304.1,56-12-2;,119,C00334,HMDB00112
364,gamma-glutamylglutamate,Peptide,Gamma-glutamyl Amino Acid,36738,LC/MS Pos,331,1036,277.1,1116-22-9;,92865,C05282,HMDB11737
368,gamma-glutamylisoleucine,Peptide,Gamma-glutamyl Amino Acid,34456,LC/MS Pos,100001485,2644,261.2,,14253342,,HMDB11170
369,gamma-glutamylleucine,Peptide,Gamma-glutamyl Amino Acid,18369,LC/MS Pos,1268,2744,261.2,2566-39-4;,151023,,HMDB11171
372,gamma-glutamylphenylalanine,Peptide,Gamma-glutamyl Amino Acid,33422,LC/MS Pos,100000491,2846,295.1,7432-24-8;,111299,,HMDB00594
2237,gamma-tocopherol,Cofactors and Vitamins,Tocopherol Metabolism,42315,GC/MS,100001308,2264,223.1,54-28-4;,14986,C02483,HMDB01492
2485,gluconate,Xenobiotics,Food Component/Plant,587,GC/MS,338,1879.4,333,527-07-1;,10690,C00257,HMDB00625
876,glucosamine,Carbohydrate,Aminosugar Metabolism,18534,GC/MS,289,1833,203,66-84-2;,441477,C00329,HMDB01514
734,glucose,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",38507,GC/MS,572,1866.8,204.1,50-99-7;,79025,C00031,HMDB00122
735,glucose-6-phosphate (G6P),Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",31260,GC/MS,291,2042.7,387.2,103192-55-8;,5958,C00668,HMDB01401
36,glutamate,Amino Acid,Glutamate Metabolism,57,LC/MS Pos,561,700,148.1,56-86-0;,611,C00025,HMDB00148
46,"glutamate, gamma-methyl ester",Amino Acid,Glutamate Metabolism,33487,LC/MS Pos,100001103,1062,162.1,1499-55-4 ;,68662,,
37,glutamine,Amino Acid,Glutamate Metabolism,53,LC/MS Pos,563,684,147.2,56-85-9;,5961,C00064,HMDB00641
461,glutamine-leucine,Peptide,Dipeptide,42994,LC/MS Pos,100003160,2180,260.2,,,,
78,glutarate (pentanedioate),Amino Acid,Lysine Metabolism,396,GC/MS,339,1433.6,261,110-94-1;,743,C00489,HMDB00661
349,"glutathione, oxidized (GSSG)",Amino Acid,Glutathione Metabolism,38783,LC/MS Pos,448,1535,307.3,103239-24-3;,65359,C00127,HMDB03337
754,glycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1572,GC/MS,1052,1360.7,189,600-19-1;,752,C00258,HMDB00139
1430,glycerol,Lipid,Glycerolipid Metabolism,15122,GC/MS,1254,1311,205,56-81-5;,753,C00116,HMDB00131
3020,glycerol 2-phosphate,Xenobiotics,Chemical,27728,GC/MS,100001029,1691.8,243,819-83-0;,2526,C02979,HMDB02520
1431,glycerol 3-phosphate (G3P),Lipid,Glycerolipid Metabolism,15365,GC/MS,100000258,1719.7,357.1,29849-82-9;,754,C00093,HMDB00126
1326,glycerophosphorylcholine (GPC),Lipid,Phospholipid Metabolism,15990,LC/MS Pos,100000269,694,258.1,28319-77-9;,71920,C00670,HMDB00086
1,glycine,Amino Acid,"Glycine, Serine and Threonine Metabolism",11777,GC/MS,340,1166,101.9,56-40-6;,750,C00037,HMDB00123
1646,glycochenodeoxycholate,Lipid,Primary Bile Acid Metabolism,32346,LC/MS Pos,1628,5320,450.1,16564-43-5;,12544,C05466,HMDB00637
1643,glycocholate,Lipid,Primary Bile Acid Metabolism,18476,LC/MS Pos,342,5213,466.2,475-31-0;863-57-0;,10140,C01921,HMDB00138
1673,glycohyocholate,Lipid,Secondary Bile Acid Metabolism,42574,LC/MS Pos,100004083,5115,466.2,,,,
1677,glycohyodeoxycholic acid,Lipid,Secondary Bile Acid Metabolism,43501,LC/MS Pos,100003868,5146,450.2,13042-33-6;,114611,,
3021,glycolate (hydroxyacetate),Xenobiotics,Chemical,15737,GC/MS,203,1119,177,79-14-1;,757,C00160,HMDB00115
473,glycylisoleucine,Peptide,Dipeptide,36659,LC/MS Pos,100001790,2080,189.1,19461-38-2;,,,
474,glycylleucine,Peptide,Dipeptide,34398,LC/MS Pos,100001258,2236,189.1,869-19-2;,92843,C02155,HMDB00759
478,glycylproline,Peptide,Dipeptide,22171,LC/MS Pos,100000976,1115,173.1,704-15-4;,3013625,,HMDB00721
484,glycylvaline,Peptide,Dipeptide,18357,LC/MS Pos,100000487,1572,175.1,1963-21-9;,97417,,HMDB28854
332,guanidine,Amino Acid,Polyamine Metabolism,22287,GC/MS,100000992,1476,186.9,50-01-1;,3520,C17349,HMDB01842
2112,guanine,Nucleotide,"Purine Metabolism, Guanine containing",32352,LC/MS Pos,172,1022,152.1,73-40-5;,764,C00242,HMDB00132
2111,guanosine,Nucleotide,"Purine Metabolism, Guanine containing",1573,LC/MS Pos,1099,1676,284,118-00-3;,6802,C00387,HMDB00133
2262,heme,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,41754,LC/MS Pos,100001386,5057,616.2,14875-96-8;,26945,C00032,HMDB03178
2291,hippurate,Xenobiotics,Benzoate Metabolism,15753,LC/MS Neg,100000014,2136,178.1,495-69-2;,464,C01586,HMDB00714
62,histamine,Amino Acid,Histidine Metabolism,1574,GC/MS,354,1808,174.1,51-45-6;,774,C00388,HMDB00870
50,histidine,Amino Acid,Histidine Metabolism,59,LC/MS Neg,355,757,154.1,5934-29-2;,6274,C00135,HMDB00177
18,homoserine,Amino Acid,"Glycine, Serine and Threonine Metabolism",23642,GC/MS,100000458,1471,218.1,672-15-1;,12647,C00263,HMDB00719
1672,hyocholate,Lipid,Secondary Bile Acid Metabolism,34093,LC/MS Neg,100001279,5001,407.3,547-75-1;,92805,C17649,HMDB00760
1675,hyodeoxycholate,Lipid,Secondary Bile Acid Metabolism,27531,LC/MS Pos,100000777,5297,357.2,83-49-8;,5283820,C15517,HMDB00733
290,hypotaurine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",590,GC/MS,358,1598.5,188,300-84-5;,107812,C00519,HMDB00965
2059,hypoxanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",3127,LC/MS Neg,171,1313,135.1,68-94-0;,790,C00262,HMDB00157
61,imidazole lactate,Amino Acid,Histidine Metabolism,15716,LC/MS Pos,100000263,778,157.1,14403-45-3;,440129,C05568,HMDB02320
60,imidazole propionate,Amino Acid,Histidine Metabolism,40730,LC/MS Pos,100003434,1011.7,141.1,1074-59-5;,70630,,HMDB02271
179,indoleacetate,Amino Acid,Tryptophan Metabolism,27513,LC/MS Pos,100001034,3760,176.1,6505-45-9;,802,C00954,HMDB00197
178,indolelactate,Amino Acid,Tryptophan Metabolism,18349,GC/MS,100000463,1964.9,202,832-97-3;,92904,C02043,HMDB00671
2058,inosine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",1123,LC/MS Neg,361,1600,267.2,58-63-9;,6021,C00294,HMDB00195
1031,isocaproate,Lipid,"Fatty Acid, Branched",22273,LC/MS Neg,100000806,2605,115.1,646-07-1;,12587,,HMDB00689
243,isoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1125,LC/MS Pos,376,1614,132.1,73-32-5;,6306,C00407,HMDB00172
502,isoleucylalanine,Peptide,Dipeptide,40046,LC/MS Pos,100003163,1686,203.2,24787-73-3;,5.25E+13,,
505,isoleucylaspartate,Peptide,Dipeptide,42982,LC/MS Neg,100003166,982.3,245.2,510-791-9560;,,,
508,isoleucylglycine,Peptide,Dipeptide,40008,LC/MS Pos,100003169,1732,189.2,868-28-0;,342532,,
221,isovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",34732,LC/MS Neg,100000708,1623,101.2,503-74-2;,10430,C08262,HMDB00718
223,isovalerylcarnitine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",34407,LC/MS Pos,100001393,2533,246.2,31023-24-2;,6426851,,HMDB00688
222,isovalerylglycine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",35107,LC/MS Neg,100001452,1961,158.1,16284-60-9;,546304,,HMDB00678
2252,isoxanthopterin,Cofactors and Vitamins,Pterin Metabolism,27732,LC/MS Pos,100000749,1593,180.1,529-69-1;,10729,C03975,HMDB00704
2267,I-urobilinogen,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,32426,LC/MS Neg,100001226,4181,591.3,14684-37-8 ;,26818,C05790,HMDB04157
2820,ketamine,Xenobiotics,Drug,35128,LC/MS Pos,100001503,2907,238.1,6740-88-1;,3821,C07525,HMDB15352
185,kynurenate,Amino Acid,Tryptophan Metabolism,1417,LC/MS Neg,98,2243,188.1,492-27-3;,3845,C01717,HMDB00715
184,kynurenine,Amino Acid,Tryptophan Metabolism,15140,LC/MS Pos,100000265,1902,209.1,2922-83-0;,161166,C00328,HMDB00684
751,lactate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",527,GC/MS,482,1102.8,116.9,79-33-4;,612,C00186,HMDB00190
1493,lanosterol,Lipid,Sterol,34017,GC/MS,395,2371,395.4,79-63-0;,246983,C01724,HMDB01251
941,laurate (12:0),Lipid,Medium Chain Fatty Acid,1645,LC/MS Neg,181,5288,199.3,143-07-7;,3893,C02679,HMDB00638
2953,lauryl sulfate,Xenobiotics,Chemical,43446,LC/MS Neg,100004287,5336,265.2,151-21-3;,8778,D01045,
215,leucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",60,LC/MS Pos,397,1674,132.2,61-90-5;,6106,C00123,HMDB00687
521,leucylalanine,Peptide,Dipeptide,40010,LC/MS Pos,100003179,1760,203.2,7298-84-2;,259321,,
524,leucylaspartate,Peptide,Dipeptide,40053,LC/MS Neg,100003182,977,245.2,32949-40-9;,3328705,,
525,leucylglutamate,Peptide,Dipeptide,40021,LC/MS Pos,100003184,1716,261.2,,5.26E+13,,
526,leucylglycine,Peptide,Dipeptide,40045,LC/MS Pos,100003185,1800,189.2,686-50-0;,79070,,
528,leucylisoleucine,Peptide,Dipeptide,36757,LC/MS Pos,100001709,2800,245.1,36077-41-5;,,,
529,leucylleucine,Peptide,Dipeptide,36756,LC/MS Pos,100001710,3012,245.1,3303-31-9;,76807,C11332,HMDB28933
533,leucylserine,Peptide,Dipeptide,40048,LC/MS Neg,100003190,1837,217.2,6209-12-7;,3621685,,
2827,lidocaine,Xenobiotics,Drug,35661,LC/MS Pos,100001538,2761,235.2,137-58-6;,3676,D00358,HMDB14426
972,lignocerate (24:0),Lipid,Long Chain Fatty Acid,1364,GC/MS,516,2211,425.4,557-59-5;,11197,C08320,HMDB02003
985,linoleate (18:2n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6),1105,LC/MS Neg,180,5533,279.3,60-33-3;,5280450,C01595,HMDB00673
987,linolenate [alpha or gamma; (18:3n3 or 6)],Lipid,Polyunsaturated Fatty Acid (n3 and n6),34035,LC/MS Neg,100001337,5450,277.3,,5280934,C06427,
1657,lithocholate,Lipid,Secondary Bile Acid Metabolism,1483,LC/MS Neg,405,5350,375.4,434-13-9;,9903,C03990,HMDB00761
69,lysine,Amino Acid,Lysine Metabolism,1301,LC/MS Pos,407,603,147.2,56-87-1;,5962,C00047,HMDB00182
921,malate,Energy,TCA Cycle,1303,GC/MS,409,1502,233,6915-15-7;,525,C00149,HMDB00156
1116,malonylcarnitine,Lipid,Fatty Acid Synthesis,37059,LC/MS Pos,100001526,980,248.1,853728-01-5;,22833583,,HMDB02095
799,maltose,Carbohydrate,Glycogen Metabolism,15806,GC/MS,913,2142.1,204.1,6363-53-7;,10991489,C00208,HMDB00163
796,maltotriose,Carbohydrate,Glycogen Metabolism,15877,GC/MS,100000276,2419,204,1109-28-0;,439586,C01835,HMDB01262
845,mannitol,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",15335,GC/MS,100000277,1839,319.1,69-65-8;,6251,C00392,HMDB00765
841,mannose,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",584,GC/MS,803,1753.5,204,3458-28-4;,18950,C00159,HMDB00169
950,margarate (17:0),Lipid,Long Chain Fatty Acid,1121,LC/MS Neg,891,5733,269.3,506-12-7;,10465,,HMDB02259
264,methionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",1302,LC/MS Pos,415,1252,150.1,63-68-3;,6137,C00073,HMDB00696
269,methionine sulfoxide,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",18374,LC/MS Pos,100000039,729,166.1,3226-65-1;,158980,C02989,HMDB02005
2189,methylphosphate,Nucleotide,Purine and Pyrimidine Metabolism,37070,GC/MS,100001805,1221,241,7023-27-0;,13130,,
1296,myo-inositol,Lipid,Inositol Metabolism,19934,GC/MS,363,1924.9,217,87-89-8;,892,C00137,HMDB00211
944,myristate (14:0),Lipid,Long Chain Fatty Acid,1365,LC/MS Neg,519,5439,227.3,544-63-8;,11005,C06424,HMDB00806
945,myristoleate (14:1n5),Lipid,Long Chain Fatty Acid,32418,LC/MS Neg,100001198,5338,225.3,544-64-9 ;,5281119,C08322,HMDB02000
1476,"N,N-dimethylsphingosine",Lipid,Sphingolipid Metabolism,32460,LC/MS Pos,1517,5192,328.3,119567-63-4;,5282309,C13914,HMDB13645
2118,N1-methylguanosine,Nucleotide,"Purine Metabolism, Guanine containing",31609,LC/MS Pos,100001122,1850,298.1,2140-65-0;,96373,,HMDB01563
70,N2-acetyllysine,Amino Acid,Lysine Metabolism,36751,LC/MS Pos,100001721,853,189.1,1946-82-3;,92907,C12989,HMDB00446
2119,N2-methylguanosine,Nucleotide,"Purine Metabolism, Guanine containing",35133,LC/MS Pos,100001467,1950,298.1,2140-77-4;,3035422,,HMDB05862
71,N6-acetyllysine,Amino Acid,Lysine Metabolism,36752,LC/MS Pos,100001734,1134,189.1,692-04-6;,92832,C02727,HMDB00206
2096,N6-carbamoylthreonyladenosine,Nucleotide,"Purine Metabolism, Adenine containing",35157,LC/MS Pos,100001415,2656,413,24719-82-2;,,,
55,N-acetyl-1-methylhistidine,Amino Acid,Histidine Metabolism,43255,LC/MS Pos,100004299,1019,212.1,,,,
25,N-acetylalanine,Amino Acid,Alanine and Aspartate Metabolism,1585,LC/MS Neg,1110,882,130.1,97-69-8;,88064,C02847,HMDB00766
31,N-acetylaspartate (NAA),Amino Acid,Alanine and Aspartate Metabolism,22185,LC/MS Neg,100000787,620,174.1,997-55-7;997-55-7 ;,65065,C01042,HMDB00812
86,N-acetyl-cadaverine,Amino Acid,Lysine Metabolism,43530,LC/MS Pos,100002249,1245,145.2,32343-73-0;,,,
379,N-acetylcarnosine,Peptide,Dipeptide Derivative,43488,LC/MS Pos,100004046,1145,269.2,56353-15-2;,9903482,,
889,N-acetylgalactosamine,Carbohydrate,Aminosugar Metabolism,5842,GC/MS,1106,1895,245.1,14215-68-0;,35717,C01074,HMDB00212
885,N-acetylglucosamine,Carbohydrate,Aminosugar Metabolism,15095,GC/MS,100000281,1903.3,245,7512-17-6;,24139,C00140,HMDB00215
888,N-acetylglucosamine 6-sulfate,Carbohydrate,Aminosugar Metabolism,21365,LC/MS Neg,100000700,709,300.2,10357-00-3;,193456,C04132,HMDB00841
38,N-acetylglutamate,Amino Acid,Glutamate Metabolism,15720,LC/MS Pos,100000282,1492,190.1,5817-08-3;,70914,C00624,HMDB01138
2,N-acetylglycine,Amino Acid,"Glycine, Serine and Threonine Metabolism",27710,GC/MS,100001006,1396.4,143.9,543-24-8;,10972,,HMDB00532
51,N-acetylhistidine,Amino Acid,Histidine Metabolism,33946,LC/MS Neg,100001293,913,196.2,39145-52-3;,75619,C02997,HMDB32055
244,N-acetylisoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",33967,LC/MS Neg,100001276,2279,172.2,3077-46-1;,2802421,,
890,N-acetylmannosamine,Carbohydrate,Aminosugar Metabolism,15059,GC/MS,1217,1882.5,245.1,7772-94-3;,439281,C00140,HMDB00835
265,N-acetylmethionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",1589,LC/MS Neg,1083,1805,190.1,65-82-7;,448580,C02712,HMDB11745
896,N-acetylmuramate,Carbohydrate,Aminosugar Metabolism,18354,LC/MS Neg,100000283,877,292.1,10597-89-4;,5462244,C02713,HMDB60493
893,N-acetylneuraminate,Carbohydrate,Aminosugar Metabolism,1592,GC/MS,1162,2074.9,245,131-48-6;,439197,C00270,HMDB00230
92,N-acetylphenylalanine,Amino Acid,Phenylalanine and Tyrosine Metabolism,33950,LC/MS Neg,100001256,2590,206.2,2018-61-3;,74839,C03519,HMDB00512
340,N-acetylputrescine,Amino Acid,Polyamine Metabolism,37496,LC/MS Pos,192,895,131.1,18233-70-0;,122356,C02714,HMDB02064
10,N-acetylserine,Amino Acid,"Glycine, Serine and Threonine Metabolism",37076,GC/MS,100001851,1526,218,97-14-3;,65249,,HMDB02931
15,N-acetylthreonine,Amino Acid,"Glycine, Serine and Threonine Metabolism",33939,LC/MS Neg,100001274,846,160.1,17093-74-2;,152204,C01118,
312,N-delta-acetylornithine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,43249,LC/MS Pos,100004523,836.2,175.1,,9920500,,
973,nervonate (24:1n9),Lipid,Long Chain Fatty Acid,41820,GC/MS,100001231,2201,423.4,506-37-6 ;,5281120,C08323,HMDB02368
266,N-formylmethionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",2829,LC/MS Neg,194,1541,176.1,4289-98-9;,439750,C03145,HMDB01015
2605,N-glycolylneuraminate,Xenobiotics,Food Component/Plant,37123,GC/MS,100001491,2119,444.2,1113-83-3;,123802,C03410,HMDB00833
2194,nicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,594,LC/MS Pos,432,1267,123.1,98-92-0;,936,C00153,HMDB01406
2198,nicotinamide adenine dinucleotide (NAD+),Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,5278,LC/MS Neg,1310,1411,661.8,53-84-9;,5893,C00003,HMDB00902
2191,nicotinate,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,1504,LC/MS Neg,567,1221,122.1,59-67-6;,938,C00253,HMDB01488
328,N-methylhydantoin,Amino Acid,Creatine Metabolism,40006,GC/MS,100002557,1358.7,171,616-04-6;,69217,C02565,HMDB03646
960,nonadecanoate (19:0),Lipid,Long Chain Fatty Acid,1356,LC/MS Neg,892,6073,297.3,646-30-0;,12591,C16535,HMDB00772
305,norvaline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,37426,GC/MS,100002082,1279,144.1,760-78-1;,824,C01826,HMDB13716
1481,N-palmitoyl-D-erythro-sphingosine,Lipid,Sphingolipid Metabolism,44879,GC/MS,1518,2478.5,442.3,24696-26-2;,5283564,,HMDB04949
1294,N-palmitoyltaurine,Lipid,Endocannabinoid,39835,LC/MS Neg,100003239,5556.8,362.4,83982-06-3;,,,
1293,N-stearoyltaurine,Lipid,Endocannabinoid,39730,LC/MS Neg,100003240,5785.9,390.3,63155-80-6;,168274,,
954,oleate (18:1n9),Lipid,Long Chain Fatty Acid,1359,GC/MS,442,1984.4,339.2,112-80-1;,445639,C00712,HMDB00207
1282,oleic ethanolamide,Lipid,Endocannabinoid,38102,LC/MS Neg,1137,6553,324.5,11-58-0;111-58-0;,5283454,,HMDB02088
299,ornithine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,1493,GC/MS,444,1763.8,142,3184-13-2;,6262,C00077,HMDB03374
2131,orotate,Nucleotide,"Pyrimidine Metabolism, Orotate containing",1505,GC/MS,445,1709.6,254.1,50887-69-9;,967,C00295,HMDB00226
2955,O-sulfo-L-tyrosine,Xenobiotics,Chemical,45413,LC/MS Neg,100005384,1006.1,260.1,,514186,,
947,palmitate (16:0),Lipid,Long Chain Fatty Acid,1336,LC/MS Neg,424,5619,255.3,57-10-3;,985,C00249,HMDB00220
948,palmitoleate (16:1n7),Lipid,Long Chain Fatty Acid,33447,LC/MS Neg,452,5477,253.3,373-49-9;,445638,C08362,HMDB03229
1285,palmitoyl ethanolamide,Lipid,Endocannabinoid,38165,LC/MS Neg,1489,6416,298.4,544-31-0;,4671,C16512,HMDB02100
1467,palmitoyl sphingomyelin,Lipid,Sphingolipid Metabolism,37506,GC/MS,100002107,2524,311.3,6254-89-3;,9939941,,
1159,palmitoylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine),22189,LC/MS Pos,100000776,5179,400.4,6865-14-1;,461,C02990,HMDB00222
2219,pantothenate,Cofactors and Vitamins,Pantothenate and CoA Metabolism,1508,LC/MS Pos,1024,2218,220.1,137-08-6;,6613,C00864,HMDB00210
120,p-cresol sulfate,Amino Acid,Phenylalanine and Tyrosine Metabolism,36103,LC/MS Neg,100001315,2896,187.1,3233-57-7;,4615423,C01468,HMDB11635
937,pelargonate (9:0),Lipid,Medium Chain Fatty Acid,12035,LC/MS Neg,437,4847,157.2,112-05-0;,8158,C01601,HMDB00847
946,pentadecanoate (15:0),Lipid,Long Chain Fatty Acid,1361,GC/MS,980,1853.5,299.2,1002-84-2;10002-84-2;,13849,C16537,HMDB00826
2863,pentobarbital,Xenobiotics,Drug,38156,LC/MS Neg,100002304,4564,225.2,76-74-4;,4737,"C07423,D00499,D02253,C07422,D00500",
97,phenethylamine (isobar with 1-phenylethanamine),Amino Acid,Phenylalanine and Tyrosine Metabolism,38763,LC/MS Pos,100002982,2114.7,122.1,,7408,C02455,HMDB02017
118,phenol sulfate,Amino Acid,Phenylalanine and Tyrosine Metabolism,32553,LC/MS Neg,100001510,2150,173.1,937-34-8;,74426,C02180,HMDB60015
99,phenylacetate,Amino Acid,Phenylalanine and Tyrosine Metabolism,15958,LC/MS Neg,100000011,2127,135.1,103-82-2;,999,C07086,HMDB00209
102,phenylacetylglycine,Amino Acid,Phenylalanine and Tyrosine Metabolism,33945,LC/MS Neg,100001275,2377,192.1,500-98-1;,68144,C05598,HMDB00821
91,phenylalanine,Amino Acid,Phenylalanine and Tyrosine Metabolism,64,LC/MS Pos,460,2056,166.1,63-91-2;,6140,C00079,HMDB00159
577,phenylalanylglutamate,Peptide,Dipeptide,41432,LC/MS Neg,100003596,1617,293.2,3617-45-6;,4422358,,
584,phenylalanylproline,Peptide,Dipeptide,41392,LC/MS Neg,100003592,3170,261.2,7669-65-0;,4069131,,
96,phenyllactate (PLA),Amino Acid,Phenylalanine and Tyrosine Metabolism,22130,LC/MS Neg,100000774,2237,165.1,828-01-3;,3848,C05607,HMDB00779
95,phenylpyruvate,Amino Acid,Phenylalanine and Tyrosine Metabolism,566,LC/MS Neg,241,2534,163.1,156-06-9;,997,C00166,HMDB00205
932,phosphate,Energy,Oxidative Phosphorylation,11438,GC/MS,461,1307.7,298.9,7664-38-2 ;,1061,C00009,HMDB01429
2621,phytol,Xenobiotics,Food Component/Plant,40140,GC/MS,100002535,1964.7,143.1,150-86-7;,5280435,C01389,HMDB02019
1465,phytosphingosine,Lipid,Sphingolipid Metabolism,1510,LC/MS Pos,469,5189,318.4,554-62-1;,122121,C12144,HMDB04610
1298,pinitol,Lipid,Inositol Metabolism,37086,GC/MS,100001860,1773,318.1,10284-63-6;,164619,C03844,HMDB34219
84,pipecolate,Amino Acid,Lysine Metabolism,1444,GC/MS,1025,1396.1,156,4043-87-2;,849,C00408,HMDB00070
1524,pregnenolone,Lipid,Sterol,1513,GC/MS,473,2199,129,145-13-1;,8955,C01953,HMDB00253
320,pro-hydroxy-pro,Amino Acid,Urea cycle; Arginine and Proline Metabolism,35127,LC/MS Pos,100001167,960,229.2,18684-24-7;,11673055,,HMDB06695
300,proline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,1898,LC/MS Pos,480,796,116.1,147-85-3;,145742,C00148,HMDB00162
601,prolylproline,Peptide,Dipeptide,40731,LC/MS Pos,100003678,1500,213.1,999-99-9;,1.19E+15,,
2145,pseudouridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",33442,LC/MS Neg,821,1104,243.1,1445-07-4;,,C02067,HMDB00767
334,putrescine,Amino Acid,Polyamine Metabolism,1408,GC/MS,49,1705.8,174,110-60-1;,1045,C00134,HMDB01414
2288,pyridoxal,Cofactors and Vitamins,Vitamin B6 Metabolism,1651,LC/MS Pos,491,1210,168.1,65-22-5;,1050,C00250,HMDB01545
2289,pyridoxate,Cofactors and Vitamins,Vitamin B6 Metabolism,31555,LC/MS Neg,100001121,2210,182.1,82-82-6 ;,6723,C00847,HMDB00017
607,pyroglutamylglutamine,Peptide,Dipeptide,22194,LC/MS Neg,100000966,879,256.1,109481-23-4;,,,
608,pyroglutamylglycine,Peptide,Dipeptide,31522,LC/MS Neg,100001127,855,185.1,29227-88-1;,152981,,
609,pyroglutamylvaline,Peptide,Dipeptide,32394,LC/MS Neg,100001132,1755,227.2,21282-10-0;,152416,,
750,pyruvate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",599,GC/MS,823,1130.6,217,127-17-3;,1060,C00022,HMDB00243
211,quinaldic acid,Amino Acid,Tryptophan Metabolism,43339,LC/MS Pos,100004218,2784,174,93-10-7;,7124,C06325,HMDB00842
2190,quinolinate,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,1899,GC/MS,182,1697.7,296.1,89-00-9;,1066,C03722,HMDB00232
769,ribitol,Carbohydrate,Pentose Metabolism,15772,GC/MS,100000406,1692.4,217,488-81-3;,6912,C00474,HMDB00508
2216,riboflavin (Vitamin B2),Cofactors and Vitamins,Riboflavin Metabolism,1827,LC/MS Pos,500,3111,377.2,83-88-5;,493570,C00255,HMDB00244
770,ribonate,Carbohydrate,Pentose Metabolism,38818,GC/MS,100001007,1663.1,246.1,5336-08-3;,5460677,,
768,ribose,Carbohydrate,Pentose Metabolism,12083,GC/MS,914,1652,204,50-69-1;,5779,C00121,HMDB00283
